,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,0,Andhra Pradesh,1,Srikakulam,GEN,Kinjarapu Yerrannaidu,M,TDP,234278,Jaya Krishna Mandamuri,M,NTR TDP(LP),199700,34578,1996
1,1,Andhra Pradesh,2,Parvathipuram,ST,Pradeep Kumar Dev Vyricherla,M,INC,231188,Viswasarai Narasimha Rao,M,TDP,222900,8288,1996
2,2,Andhra Pradesh,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,M,TDP,276298,Botcha Satyanarayana,M,INC,255331,20967,1996
3,3,Andhra Pradesh,4,Visakhapatnam,GEN,T. Subbarami Reddi,M,INC,365700,Ananda Gajapathi Raju Poosapati,M,TDP,358241,7459,1996
4,4,Andhra Pradesh,5,Bhadrachalam,ST,Sode Ramaiah,M,CPI,245214,K Kamala Kumari,M,INC,217806,27408,1996
5,5,Andhra Pradesh,6,Anakapalli,GEN,Ayyanna Paurudu Chintakayala,M,TDP,327290,Konathala Ramakrishna,M,INC,277118,50172,1996
6,6,Andhra Pradesh,7,Kakinada,GEN,Gopalakrishna Thota,M,TDP,308480,Thota Subba Rao,M,INC,269981,38499,1996
7,7,Andhra Pradesh,8,Rajahmundry,GEN,Chitturi Ravindra,M,INC,353861,Chundru Srihari Rao,M,TDP,258695,95166,1996
8,8,Andhra Pradesh,9,Amalapuram,SC,K.S.R Murthy,M,INC,245477,Balayogi G.M.C.,M,TDP,216346,29131,1996
9,9,Andhra Pradesh,10,Narsapuram,GEN,Kothapalli Subbarayudu (Pedababu),M,TDP,304536,Kanumuru Bapiraju,M,INC,286910,17626,1996
10,10,Andhra Pradesh,11,Eluru,GEN,Bolla Buli Ramaiah,M,TDP,333167,Maganti Venkateswara Rao(Babu),M,INC,331532,1635,1996
11,11,Andhra Pradesh,12,Machilipatnam,GEN,Satyanarayana Kaikala,M,TDP,275713,Kolusu Pedareddaiah Yadav,M,INC,194206,81507,1996
12,12,Andhra Pradesh,13,Vijayawada,GEN,Upendra Parvathaneni,M,INC,397709,Vadde Sobhanadreeswara Rao,M,TDP,283435,114274,1996
13,13,Andhra Pradesh,14,Tenali,GEN,Sarada Tadiparthi,M,TDP,274244,Singam Basavapunaiah,M,INC,237756,36488,1996
14,14,Andhra Pradesh,15,Guntur,GEN,Rayapati Samba Siva Rao,M,INC,343252,Lal Jan Basha S.M.,M,TDP,274753,68499,1996
15,15,Andhra Pradesh,16,Bapatla,GEN,Ummareddy Venkateswarlu,M,TDP,276064,Vijaya Prad Arya,M,INC,267802,8262,1996
16,16,Andhra Pradesh,17,Narasaraopet,GEN,Saidaiah Kota,M,TDP,316360,K. V. Krishna Reddy,M,INC,297402,18958,1996
17,17,Andhra Pradesh,18,Ongole,GEN,Parvathamma Magunta,M,INC,381475,Rajamohan Reddy M.,M,TDP,331415,50060,1996
18,18,Andhra Pradesh,19,Nellore,SC,Panabaka Lakshmi,F,INC,269498,Tummallagunta Prapancha Bhanu Raju,M,CPM,201313,68185,1996
19,19,Andhra Pradesh,20,Tirupati,SC,Nelavala Subrahmanyam,M,INC,344738,Gali Rajasree,F,TDP,292406,52332,1996
20,20,Andhra Pradesh,21,Chittoor,GEN,N.Ramakrishna Reddy,M,TDP,405052,Audikesavulu D.K,M,INC,343702,61350,1996
21,21,Andhra Pradesh,22,Rajampet,GEN,Annaiahgari Sai Prathap,M,INC,280557,Pothuraju Prathap,M,TDP,230165,50392,1996
22,22,Andhra Pradesh,23,Kadapa,GEN,Rajasekhara Reddy Y.S,M,INC,368611,Kandula Raja Mohana Reddy,M,TDP,363166,5445,1996
23,23,Andhra Pradesh,24,Hindupur,GEN,S.Ramachandra Reddy,M,TDP,353880,S.Gangadhar,M,INC,181458,172422,1996
24,24,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkatarami Reddy,M,INC,284845,R.Rangappa,M,CPI,205986,78859,1996
25,25,Andhra Pradesh,26,Kurnool,GEN,Kotla Vijaya Bhaskara Reddy,M,INC,323208,S.V.Subba Reddy,M,TDP,290389,32819,1996
26,26,Andhra Pradesh,27,Nandyal,GEN,P.V.Narasimha Rao,M,INC,366431,Bhuma Venkata Nagi Reddy,M,TDP,267901,98530,1996
27,27,Andhra Pradesh,By Polls (1996),Nandyal,GEN,Bhuma Nagi Reddy,M,TDP,567042,P.V. Rangayya Naidu,M,INC,126892,440150,1996
28,28,Andhra Pradesh,28,Nagarkurnool,SC,M. Jagannath,M,TDP,368134,Mallu Ravi,F,INC,291759,76375,1996
29,29,Andhra Pradesh,29,Mahabubnagar,GEN,Mallikarjun,M,INC,259875,D.K. Aruna,M,TDP,254377,5498,1996
30,30,Andhra Pradesh,30,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,AIMIM,321045,M. Venkaiah Naidu,M,BJP,247772,73273,1996
31,31,Andhra Pradesh,31,Secunderabad,GEN,Rajeshwar Rao P.V.,M,INC,420660,Bandaru Dattatreya,M,BJP,206302,214358,1996
32,32,Andhra Pradesh,32,Siddipet,SC,Yellaiah Nandi,M,INC,416733,G.Vijaya Ramarao,M,TDP,328766,87967,1996
33,33,Andhra Pradesh,33,Medak,GEN,M. Baaga Reddy,M,INC,286278,Patlolla Manik Reddy,M,TDP,258789,27489,1996
34,34,Andhra Pradesh,34,Nizamabad,GEN,Atmacharan Reddy,M,INC,293244,Mandawa Venkateshwara Rao,M,TDP,249645,43599,1996
35,35,Andhra Pradesh,35,Adilabad,GEN,S. Venugopala Chary,M,TDP,286477,Allola Indrakaran Reddy,M,INC,249117,37360,1996
36,36,Andhra Pradesh,36,Peddapalli,SC,G. Venkat Swamy,M,INC,313498,Suddala Devaiah,M,TDP,248033,65465,1996
37,37,Andhra Pradesh,37,Karimnagar,GEN,Lgandula Ramana,M,TDP,235343,Chokka Rao J,M,INC,183582,51761,1996
38,38,Andhra Pradesh,38,Hanamkonda,GEN,M. Kamaluddin Ahmed,M,INC,218256,Baswa Reddy Adaboina,M,TDP,142686,75570,1996
39,39,Andhra Pradesh,39,Warangal,GEN,Ajmeera Chandulal,M,TDP,292887,Surander Reddy Rama,M,INC,275447,17440,1996
40,40,Andhra Pradesh,40,Khammam,GEN,Veerabhadram Tammineni,M,CPM,374675,P.V. Rangaiah Naidu,M,INC,311384,63291,1996
41,41,Andhra Pradesh,41,Nalgonda,GEN,Bommagani Dharma Bixam,M,CPI,277336,Indrasena Reddy Nallu,M,BJP,205579,71757,1996
42,42,Andhra Pradesh,42,Miryalguda,GEN,Narsimha Reddy Baddam,M,INC,355924,Mallu Swarajyam,M,CPM,312048,43876,1996
43,43,Arunachal Pradesh,1,Arunachal West,GEN,Tomo Riba,M,IND,88718,P.K. Thungon,M,INC,49102,39616,1996
44,44,Arunachal Pradesh,2,Arunachal East,GEN,Wangcha Rajkumar,M,IND,42784,Laeta Umbrey,M,INC,35513,7271,1996
45,45,Assam,1,Karimganj,SC,Dwaraka Nath Das,M,BJP,224229,Sabita Das,M,INC,191480,32749,1996
46,46,Assam,2,Silchar,GEN,Sontosh Mohan Deb,M,INC,237804,Kabindra Purkayastha,M,BJP,169663,68141,1996
47,47,Assam,3,Diphu,ST,Jayanta Rongpi,M,ASDC,180112,Elwin Teron,M,INC,76982,103130,1996
48,48,Assam,4,Dhubri,GEN,Nurul Islam,M,INC,314594,Onkarmal Agarwal,M,AGP,182373,132221,1996
49,49,Assam,5,Kokrajhar,ST,Louis Islary,M,IND,185688,Rabi Ram Brahma,M,IND,154134,31554,1996
50,50,Assam,6,Barpeta,GEN,Uddhab Barman,M,CPM,250451,Abdus Samad Ahmed,M,UMFA,182948,67503,1996
51,51,Assam,7,Guwahati,GEN,Prabin Chandra Sarmah,M,AGP,372833,Bhubaneswar Kalita,M,INC,258436,114397,1996
52,52,Assam,8,Darrang–Udalguri,GEN,Birendra Prasad Baishya,M,AGP,261838,Prabin Deka,M,INC,162706,99132,1996
53,53,Assam,9,Sonitpur,GEN,Iswar Prasanna Hazarika,M,INC,207071,Harsha Bahadur Biswakarma,M,AGP,200352,6719,1996
54,54,Assam,10,Nowgong,GEN,Muhi Ram Saikia,M,AGP,263649,Nazneen Faruque,M,INC,209521,54128,1996
55,55,Assam,11,Kaliabor,GEN,Keshab Mahanta,M,AGP,283086,Tarun Gogoi,M,INC,281470,1616,1996
56,56,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,M,INC,311578,Bhadreswar Buragohain,M,AGP,264339,47239,1996
57,57,Assam,13,Dibrugarh,GEN,Paban Singh Ghatowar,M,INC,281253,Israil Nanda,M,AGP,173898,107355,1996
58,58,Assam,14,Lakhimpur,GEN,Arun Kr. Sarma,M,AGP,221183,Bolin Kuli,M,INC,217743,3440,1996
59,59,Bihar,1,Bagaha,SC,Mahendra Baitha,M,SAP,200469,Bhola Ram Toofani,M,JD,144397,56072,1996
60,60,Bihar,2,Bettiah,GEN,Madan Prasad Jaiswal,M,BJP,315899,Nasim Ahmad,M,JD,264410,51489,1996
61,61,Bihar,3,Motihari,GEN,Radha Mohan Singh,M,BJP,348384,Abdul Moghani Kaifi,M,CPI,220575,127809,1996
62,62,Bihar,4,Gopalganj,GEN,Lal Babu Pd. Yadav,M,JD,298356,Kali Prasad Pandey,M,INC,178860,119496,1996
63,63,Bihar,5,Siwan,GEN,M. Sahabuddin,M,JD,326351,Janardan Tiwari,M,BJP,161108,165243,1996
64,64,Bihar,6,Maharajganj,GEN,Ram Bahadur Singh,M,SAP,325577,Girija Devi,F,GD,172723,152854,1996
65,65,Bihar,7,Saran,GEN,Rajiv Pratap Rudi,M,BJP,339086,Lal Babu Rai,M,JD,323590,15496,1996
